Ticker,Name,Sector,Industry
A,Agilent Technologies Inc.,Healthcare,Medical Laboratories & Research
AA,Alcoa Inc.,Basic Materials,Aluminum
AAME,Atlantic American Corp.,Financial,Life Insurance
AAN,"Aaron's, Inc.",Services,Rental & Leasing Services
AAON,AAON Inc.,Industrial Goods,General Building Materials
AAP,Advance Auto Parts Inc.,Services,Auto Parts Stores
AAT,"American Assets Trust, Inc.",Financial,REIT - Retail
AAPL,Apple Inc.,Consumer Goods,Electronic Equipment
AAWW,Atlas Air Worldwide Holdings Inc.,Services,"Air Services, Other"
ABAX,"Abaxis, Inc.",Healthcare,Diagnostic Substances
ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale
ABCB,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks
ABCD,"Cambium Learning Group, Inc.",Services,Education & Training Services
ABCO,The Advisory Board Company,Services,Business Services
AB,AllianceBernstein Holding L.P.,Financial,Asset Management
ABFS,Arkansas Best Corporation,Services,Trucking
ABG,"Asbury Automotive Group, Inc.",Services,Auto Dealerships
ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology
ABM,ABM Industries Incorporated,Services,Business Services
ABMC,American Bio Medica Corp.,,
ABMD,"ABIOMED, Inc.",Healthcare,Medical Appliances & Equipment
ABPI,"Accentia Biopharmaceuticals, Inc.",,
ABT,Abbott Laboratories,Healthcare,Medical Appliances & Equipment
ABTL,Autobytel Inc.,Technology,Internet Information Providers
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology
ACAT,Arctic Cat Inc.,Consumer Goods,Recreational Vehicles
ABR,Arbor Realty Trust Inc.,Financial,REIT - Diversified
ACC,"American Campus Communities, Inc.",Financial,REIT - Residential
ACCL,Accelrys Inc.,Technology,Application Software
ACE,ACE Limited,Financial,Property & Casualty Insurance
ACEL,"Tamir Biotechnology, Inc.",,
ACET,Aceto Corp.,Basic Materials,Chemicals - Major Diversified
ACFC,Atlantic Coast Financial Corporation,Financial,Regional - Southeast Banks
ACFN,"Acorn Energy, Inc.",Industrial Goods,Aerospace/Defense Products & Services
ACCO,ACCO Brands Corporation,Consumer Goods,Office Supplies
ACGL,Arch Capital Group Ltd.,Financial,Property & Casualty Insurance
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Specialized Health Services
ACHN,"Achillion Pharmaceuticals, Inc.",Healthcare,Biotechnology
ACI,Arch Coal Inc.,Basic Materials,Industrial Metals & Minerals
ACIW,"ACI Worldwide, Inc.",Technology,Technical & System Software
ACM,AECOM Technology Corporation,Services,Technical Services
ACLS,Axcelis Technologies Inc.,Technology,Semiconductor Equipment & Materials
ACMP,"Access Midstream Partners, L.P.",Basic Materials,Oil & Gas Equipment & Services
ACN,Accenture plc,Technology,Information Technology Services
ACNB,ACNB Corp.,Financial,Regional - Southwest Banks
ACO,AMCOL International Corporation,Basic Materials,Industrial Metals & Minerals
ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology
ACPW,Active Power Inc.,Industrial Goods,Diversified Machinery
ACRE,Ares Commercial Real Estate Corporation,Financial,REIT - Diversified
ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Medical Appliances & Equipment
ACTG,Acacia Research Corporation,Services,Business Services
ACU,Acme United Corp.,Consumer Goods,Housewares & Accessories
ACUR,"Acura Pharmaceuticals, Inc.",Healthcare,Drug Delivery
ACW,Accuride Corp.,Consumer Goods,Auto Parts
ACXM,Acxiom Corporation,Technology,Information Technology Services
ACY,AeroCentury Corp.,Services,Rental & Leasing Services
ADAT,Authentidate Holding Corp.,Technology,Healthcare Information Services
ADBE,Adobe Systems Inc.,Technology,Application Software
ADC,Agree Realty Corp.,Financial,Property Management
ADEP,Adept Technology Inc.,Industrial Goods,Diversified Machinery
ADES,"Advanced Emissions Solutions, Inc.",Industrial Goods,Pollution & Treatment Controls
ADI,"Analog Devices, Inc.",Technology,Semiconductor - Integrated Circuits
ADK,AdCare Health Systems Inc.,Healthcare,Long-Term Care Facilities
ADM,Archer Daniels Midland Company,Consumer Goods,Farm Products
ADNC,"Audience, Inc.",Technology,Semiconductor - Integrated Circuits
ADP,"Automatic Data Processing, Inc.",Technology,Business Software & Services
ADS,Alliance Data Systems Corporation,Services,Business Services
ADSK,"Autodesk, Inc.",Technology,Technical & System Software
ADT,The ADT Corporation,Services,Security & Protection Services
ADUS,Addus HomeCare Corporation,Healthcare,Home Health Care
ADTN,ADTRAN Inc.,Technology,Communication Equipment
ADVS,"Advent Software, Inc.",Technology,Application Software
AE,Adams Resources & Energy Inc.,Basic Materials,Oil & Gas Refining & Marketing
AEC,Associated Estates Realty Corporation,Financial,REIT - Residential
AEE,Ameren Corporation,Utilities,Diversified Utilities
AEGN,Aegion Corporation,Industrial Goods,Heavy Construction
AEGR,"Aegerion Pharmaceuticals, Inc.",Healthcare,Biotechnology
AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials
AEIS,"Advanced Energy Industries, Inc.",Technology,Diversified Electronics
AEL,American Equity Investment Life Holding Co.,Financial,Life Insurance
AEO,"American Eagle Outfitters, Inc.",Services,Apparel Stores
AEP,"American Electric Power Co., Inc.",Utilities,Electric Utilities
AEPI,AEP Industries Inc.,Consumer Goods,Rubber & Plastics
AERG,"Applied Energetics, Inc.",Technology,Scientific & Technical Instruments
AES,The AES Corporation,Utilities,Electric Utilities
AET,Aetna Inc.,Healthcare,Health Care Plans
AERT,"Advanced Environmental Recycling Technologies, Inc.",Industrial Goods,"Lumber, Wood Production"
AETI,"American Electric Technologies, Inc",Industrial Goods,Industrial Electrical Equipment
AF,Astoria Financial Corporation,Financial,Savings & Loans
AEY,ADDvantage Technologies Group Inc.,Services,Electronics Wholesale
AFA,American Financial Group Inc.,,
AFAM,Almost Family Inc.,Healthcare,Home Health Care
AFCB,Athens Bancshares Corporation,Financial,Regional - Southeast Banks
AFCE,AFC Enterprises Inc.,,
AFFM,Affirmative Insurance Holdings Inc.,Financial,Property & Casualty Insurance
AFFX,Affymetrix Inc.,Technology,Scientific & Technical Instruments
AFFY,"Affymax, Inc.",Healthcare,Biotechnology
AFH,"Atlas Financial Holdings, Inc.",Financial,Property & Casualty Insurance
AFG,American Financial Group Inc.,Financial,Property & Casualty Insurance
AFL,AFLAC Inc.,Financial,Accident & Health Insurance
AFM,Affiliated Managers Group Inc.,,
AFOP,Alliance Fiber Optic Products Inc.,Technology,Diversified Electronics
AFSI,"AmTrust Financial Services, Inc.",Financial,Property & Casualty Insurance
AGCO,AGCO Corporation,Industrial Goods,Farm & Construction Machinery
AGEN,Agenus Inc.,Healthcare,Biotechnology
AGII,"Argo Group International Holdings, Ltd.",Financial,Property & Casualty Insurance
AGIIL,Argo Group International Holdin,,
AGM,Federal Agricultural Mortgage Corp.,Financial,Credit Services
AGN,Allergan Inc.,Healthcare,Drug Manufacturers - Other
AGNC,American Capital Agency Corp.,Financial,REIT - Residential
AGO,Assured Guaranty Ltd.,Financial,Surety & Title Insurance
AGNCP,American Capital Agency Corp.,,
AGX,"Argan, Inc.",Industrial Goods,Heavy Construction
AGYS,Agilysys Inc.,Technology,Application Software
AHC,A. H. Belo Corporation,Services,Publishing - Newspapers
AHGP,"Alliance Holdings GP, L.P.",Basic Materials,Nonmetallic Mineral Mining
AHL,Aspen Insurance Holdings Ltd.,Financial,Property & Casualty Insurance
AHPI,Allied Healthcare Products Inc.,Healthcare,Medical Appliances & Equipment
AHS,AMN Healthcare Services Inc.,Healthcare,Specialized Health Services
AHT,"Ashford Hospitality Trust, Inc.",Financial,REIT - Hotel/Motel
AI,Arlington Asset Investment Corp.,Financial,Mortgage Investment
AIG,"American International Group, Inc.",Financial,Property & Casualty Insurance
AIMC,Altra Industrial Motion Corp.,Industrial Goods,Industrial Electrical Equipment
AIQ,"Alliance Healthcare Services, Inc.",Healthcare,Medical Laboratories & Research
AIR,AAR Corp.,Services,Major Airlines
AIRM,Air Methods Corp.,Healthcare,Specialized Health Services
AIRT,Air T Inc.,Services,Air Delivery & Freight Services
AIT,"Applied Industrial Technologies, Inc.",Services,Industrial Equipment Wholesale
AIV,Apartment Investment and Management Company,Financial,REIT - Residential
AIZ,Assurant Inc.,Financial,Accident & Health Insurance
AJG,Arthur J Gallagher & Co.,Financial,Insurance Brokers
AKR,Acadia Realty Trust,Financial,Property Management
AKAM,"Akamai Technologies, Inc.",Technology,Internet Information Providers
AKRX,"Akorn, Inc.",Healthcare,Drugs - Generic
AKS,AK Steel Holding Corporation,Basic Materials,Steel & Iron
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals
ALCO,Alico Inc.,Consumer Goods,Farm Products
ALCS,"ALCO Stores, Inc.",Services,"Discount, Variety Stores"
ALE,"ALLETE, Inc.",Utilities,Diversified Utilities
ALGT,Allegiant Travel Company,Services,Regional Airlines
ALIM,"Alimera Sciences, Inc.",Healthcare,Drug Manufacturers - Major
ALGN,Align Technology Inc.,Healthcare,Medical Appliances & Equipment
ALJ,"Alon USA Energy, Inc.",Basic Materials,Oil & Gas Refining & Marketing
ALK,"Alaska Air Group, Inc.",Services,Regional Airlines
ALKS,Alkermes plc,Healthcare,Drug Delivery
ALL,The Allstate Corporation,,
ALG,"Alamo Group, Inc.",Industrial Goods,Farm & Construction Machinery
ALEX,"Alexander & Baldwin, Inc.",Financial,Real Estate Development
ALLB,Alliance Bancorp Inc of Pennsylvania,Financial,Money Center Banks
ALOG,Analogic Corporation,Technology,Scientific & Technical Instruments
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Biotechnology
ALR,Alere Inc.,Healthcare,Medical Laboratories & Research
ALOT,"Astro-Med, Inc.",Technology,Computer Peripherals
ALSE,"Alseres Pharmaceuticals, Inc.",Healthcare,Biotechnology
ALSK,Alaska Communications Systems Group Inc.,Technology,Telecom Services - Domestic
ALSN,"Allison Transmission Holdings, Inc.",Consumer Goods,Auto Parts
ALTI,"Altair Nanotechnologies, Inc.",Technology,Diversified Electronics
ALV,"Autoliv, Inc.",Consumer Goods,Auto Parts
ALTR,Altera Corp.,Technology,Semiconductor - Specialized
ALXA,Alexza Pharmaceuticals Inc.,Healthcare,Drug Manufacturers - Other
ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology
AMAG,"AMAG Pharmaceuticals, Inc.",Healthcare,Diagnostic Substances
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials
ALX,Alexander's Inc.,Financial,REIT - Retail
AMBA,"Ambarella, Inc.",Technology,Semiconductor Equipment & Materials
AMBT,Ambient Corporation,Technology,Communication Equipment
AMCC,Applied Micro Circuits Corporation,Technology,Semiconductor - Integrated Circuits
AMCF,Andatee China Marine Fuel Services Corporation,Basic Materials,Oil & Gas Equipment & Services
AMCX,AMC Networks Inc.,Services,Entertainment - Diversified
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductor - Broad Line
AME,Ametek Inc.,Industrial Goods,Diversified Machinery
AMED,Amedisys Inc.,Healthcare,Home Health Care
AMG,Affiliated Managers Group Inc.,Financial,Asset Management
AMGN,Amgen Inc.,Healthcare,Biotechnology
AMIC,American Independence Corp.,Financial,Accident & Health Insurance
AMID,"American Midstream Partners, LP",Basic Materials,Oil & Gas Pipelines
AMIN,American International Industries Inc.,Services,Business Services
AMKR,"Amkor Technology, Inc.",Technology,Semiconductor - Integrated Circuits
AMNB,American National Bankshares Inc.,Financial,Regional - Mid-Atlantic Banks
AMOT,Allied Motion Technologies Inc.,Industrial Goods,Industrial Electrical Equipment
AMP,"Ameriprise Financial, Inc.",Financial,Asset Management
AMPE,"Ampio Pharmaceuticals, Inc.",Healthcare,Biotechnology
AMRB,American River Bankshares,Financial,Regional - Pacific Banks
AMRC,"Ameresco, Inc.",Services,Technical Services
AMRE,"AmREIT, Inc.",Financial,Property Management
AMRI,Albany Molecular Research Inc.,Healthcare,Biotechnology
AMRS,"Amyris, Inc.",Basic Materials,Specialty Chemicals
AMSC,American Superconductor Corporation,Technology,Diversified Electronics
AMSF,"Amerisafe, Inc.",Financial,Property & Casualty Insurance
AMS,American Shared Hospital Services,Healthcare,Specialized Health Services
AMSG,AmSurg Corp.,Healthcare,Hospitals
AMSWA,"American Software, Inc.",Technology,Application Software
AMT,American Tower Corporation,Financial,REIT - Diversified
AMTD,TD Ameritrade Holding Corporation,Financial,Investment Brokerage - National
AMTG,"Apollo Residential Mortgage, Inc.",Financial,REIT - Residential
AMTY,Amerityre Corporation,Consumer Goods,Rubber & Plastics
AMWD,American Woodmark Corp.,Consumer Goods,Home Furnishings & Fixtures
AN,AutoNation Inc.,Services,Auto Dealerships
ANAC,"Anacor Pharmaceuticals, Inc.",Healthcare,Biotechnology
AMZN,Amazon.com Inc.,Services,Catalog & Mail Order Houses
ANAD,"Anadigics, Inc.",Technology,Semiconductor - Integrated Circuits
ANAT,American National Insurance Co.,Financial,Property & Casualty Insurance
ANCB,Anchor Bancorp,Financial,Savings & Loans
ANCX,Access National Corporation,Financial,Regional - Mid-Atlantic Banks
ANDA,"Tecnoglass, Inc.",,
ANDAU,Andina Acquisition Corporation,,
ANDAW,Andina Acquisition Corporation,,
ANEN,"Anaren, Inc.",,
ANGI,"Angie's List, Inc.",Technology,Internet Software & Services
ANF,Abercrombie & Fitch Co.,Services,Apparel Stores
ANGO,AngioDynamics Inc.,Healthcare,Medical Instruments & Supplies
ANIK,Anika Therapeutics Inc.,Healthcare,Biotechnology
ANLY,Analysts International Corp.,,
ANDE,"The Andersons, Inc.",Consumer Goods,Farm Products
ANN,ANN INC.,Services,Apparel Stores
ANH,Anworth Mortgage Asset Corporation,Financial,REIT - Diversified
ANR,"Alpha Natural Resources, Inc.",Basic Materials,Industrial Metals & Minerals
ANSS,"Ansys, Inc.",Technology,Application Software
ANTH,"Anthera Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Major
ANTP,PHAZAR CORP,,
ANV,Allied Nevada Gold Corp.,Basic Materials,Gold
AOL,AOL Inc.,Technology,Internet Information Providers
AOS,AO Smith Corp.,Industrial Goods,Industrial Electrical Equipment
AOSL,"Alpha & Omega Semiconductor, Ltd.",Technology,Semiconductor - Specialized
AP,Ampco-Pittsburgh Corp.,Industrial Goods,Diversified Machinery
APA,Apache Corp.,Basic Materials,Independent Oil & Gas
APAGF,Apco Oil & Gas International Inc.,Basic Materials,Independent Oil & Gas
APAM,Artisan Partners Asset Management Inc.,Financial,Asset Management
APC,Anadarko Petroleum Corporation,Basic Materials,Independent Oil & Gas
APD,Air Products & Chemicals Inc.,Basic Materials,Chemicals - Major Diversified
APEI,"American Public Education, Inc.",Services,Education & Training Services
APFC,American Pacific Corporation,,
APH,Amphenol Corporation,Technology,Diversified Electronics
API,Advanced Photonix Inc.,Technology,Semiconductor - Integrated Circuits
APO,"Apollo Global Management, LLC",Financial,Diversified Investments
APOG,"Apogee Enterprises, Inc.",Industrial Goods,General Building Materials
APL,"Atlas Pipeline Partners, L.P.",Basic Materials,Oil & Gas Pipelines
APP,"American Apparel, Inc.",Consumer Goods,Textile - Apparel Clothing
APOL,"Apollo Education Group, Inc.",Services,Education & Training Services
APPY,"Venaxis, Inc.",Healthcare,Diagnostic Substances
APRI,"Apricus Biosciences, Inc.",Healthcare,Drug Manufacturers - Other
APU,AmeriGas Partners LP,Utilities,Gas Utilities
APT,Alpha Pro Tech Ltd.,Healthcare,Medical Appliances & Equipment
ARAY,Accuray Incorporated,Healthcare,Medical Appliances & Equipment
ARCI,Appliance Recycling Centers of America Inc.,Services,Electronics Stores
AOI,"Alliance One International, Inc.",Consumer Goods,"Tobacco Products, Other"
ANCI,"American Caresource Holdings, Inc.",Healthcare,Specialized Health Services
ARCP,"American Realty Capital Properties, Inc.",Financial,REIT - Diversified
ARCW,"ARC Group Worldwide, Inc.",Industrial Goods,Metal Fabrication
ARDM,Aradigm Corporation,Healthcare,Drug Delivery
ARDNA,Arden Group Inc.,,
AREX,"Approach Resources, Inc.",Basic Materials,Oil & Gas Drilling & Exploration
ARI,"Apollo Commercial Real Estate Finance, Inc.",Financial,REIT - Diversified
ARII,"American Railcar Industries, Inc.",Services,Railroads
ARKR,Ark Restaurants Corp.,Services,Restaurants
ARL,American Realty Investors Inc.,Financial,Property Management
ARLP,Alliance Resource Partners LP,Basic Materials,Industrial Metals & Minerals
ARNA,"Arena Pharmaceuticals, Inc.",Healthcare,Biotechnology
AQQ,American Spectrum Realty Inc.,Financial,Property Management
AROW,Arrow Financial Corporation,Financial,Regional - Northeast Banks
ARP,"Atlas Resource Partners, L.P.",Basic Materials,Independent Oil & Gas
ARQL,ArQule Inc.,Healthcare,Biotechnology
ARR,"ARMOUR Residential REIT, Inc.",Financial,REIT - Residential
ARRS,"ARRIS Group, Inc.",Technology,Communication Equipment
ARRY,"Array BioPharma, Inc.",Healthcare,Biotechnology
ARTC,ArthroCare Corporation,Healthcare,Medical Appliances & Equipment
ARTNA,Artesian Resources Corp.,Utilities,Water Utilities
ARTW,Art's-Way Manufacturing Co. Inc.,Industrial Goods,Farm & Construction Machinery
ARE,"Alexandria Real Estate Equities, Inc.",Financial,REIT - Office
ARTX,Arotech Corporation,Industrial Goods,Industrial Electrical Equipment
ARUN,"Aruba Networks, Inc.",Technology,Networking & Communication Devices
ARW,"Arrow Electronics, Inc.",Services,Electronics Wholesale
ARWR,Arrowhead Research Corp.,Healthcare,Biotechnology
ASBB,"ASB Bancorp, Inc.",Financial,Regional - Mid-Atlantic Banks
ASBC,Associated Banc-Corp,Financial,Regional - Midwest Banks
ASBCW,Associated Banc-Corp,,
ARSD,Arabian American Development Company,Basic Materials,Chemicals - Major Diversified
ASBI,Ameriana Bancorp,Financial,Savings & Loans
ASCA,Ameristar Casinos Inc.,,
ASCMA,"Ascent Capital Group, Inc.",Services,Security & Protection Services
ASEI,American Science & Engineering Inc.,Services,Security & Protection Services
ARG,"Airgas, Inc.",Basic Materials,Chemicals - Major Diversified
ARX,Aeroflex Holding Corp.,Technology,Semiconductor - Integrated Circuits
ASH,Ashland Inc.,Basic Materials,Chemicals - Major Diversified
ASIA,"AsiaInfo-Linkage, Inc.",Technology,Security Software & Services
ASNA,Ascena Retail Group Inc.,Services,Apparel Stores
ASPS,Altisource Portfolio Solutions S.A.,Services,Business Services
ASTC,Astrotech Corp.,Industrial Goods,Aerospace/Defense Products & Services
ASTE,"Astec Industries, Inc.",Industrial Goods,Farm & Construction Machinery
ASTI,"Ascent Solar Technologies, Inc.",Technology,Semiconductor - Specialized
ASRV,"AmeriServ Financial, Inc.",Financial,Regional - Northeast Banks
ASUR,"Asure Software, Inc.",Technology,Business Software & Services
ASYS,Amtech Systems Inc.,Technology,Semiconductor Equipment & Materials
ATEA,Astea International Inc.,Technology,Application Software
ATEC,"Alphatec Holdings, Inc.",Healthcare,Medical Instruments & Supplies
ATHN,"athenahealth, Inc.",Technology,Healthcare Information Services
ATHX,"Athersys, Inc.",Healthcare,Biotechnology
ATK,Alliant Techsystems Inc.,Industrial Goods,Aerospace/Defense Products & Services
ATI,Allegheny Technologies Inc.,Industrial Goods,Metal Fabrication
ATLC,Atlanticus Holdings Corporation,Financial,Credit Services
ATMI,ATMI Inc.,Technology,Semiconductor Equipment & Materials
ATML,Atmel Corporation,Technology,Semiconductor - Broad Line
ATNI,"Atlantic Tele-Network, Inc.",Technology,Telecom Services - Domestic
ASTM,"Aastrom Biosciences, Inc.",Healthcare,Biotechnology
ATNY,API Technologies Corp.,Technology,Semiconductor - Broad Line
ATO,Atmos Energy Corporation,Utilities,Gas Utilities
ATOS,"Atossa Genetics, Inc.",Healthcare,Diagnostic Substances
ATR,"AptarGroup, Inc.",Consumer Goods,Packaging & Containers
ATLO,Ames National Corporation,Financial,Regional - Northeast Banks
ATRM,Aetrium Inc.,Technology,Semiconductor Equipment & Materials
ATRO,Astronics Corporation,Industrial Goods,Aerospace/Defense Products & Services
ATRS,Antares Pharma Inc.,Healthcare,Medical Instruments & Supplies
ATRC,"AtriCure, Inc.",Healthcare,Medical Instruments & Supplies
ATU,Actuant Corporation,Industrial Goods,Diversified Machinery
ATRI,ATRION Corp.,Healthcare,Medical Instruments & Supplies
ARO,A,Services,Apparel Stores
ASFI,Asta Funding Inc.,Services,Business Services
ATVI,"Activision Blizzard, Inc.",Technology,Multimedia & Graphics Software
ATW,"Atwood Oceanics, Inc.",Basic Materials,Oil & Gas Drilling & Exploration
ARIA,Ariad Pharmaceuticals Inc.,Healthcare,Biotechnology
ATX,Costa Inc.,,
AUBN,"Auburn National Bancorporation, Inc.",Financial,Regional - Southeast Banks
AUXL,Auxilium Pharmaceuticals Inc.,Healthcare,Drug Related Products
AVA,Avista Corp.,Utilities,Diversified Utilities
AVAV,"AeroVironment, Inc.",Industrial Goods,Aerospace/Defense Products & Services
AVB,Avalonbay Communities Inc.,Financial,REIT - Residential
AVEO,"AVEO Pharmaceuticals, Inc.",Healthcare,Biotechnology
AVHI,"AV Homes, Inc.",Industrial Goods,Residential Construction
AVNR,"Avanir Pharmaceuticals, Inc.",Healthcare,Drugs - Generic
AVID,"Avid Technology, Inc.",Technology,Multimedia & Graphics Software
AVGO,Avago Technologies Limited,Technology,Semiconductor - Broad Line
AVNW,"Aviat Networks, Inc.",Technology,Communication Equipment
AVP,Avon Products Inc.,Consumer Goods,Personal Products
AVSR,Avistar Communications Corp.,,
AVT,"Avnet, Inc.",Services,Electronics Wholesale
AVX,AVX Corp.,Technology,Diversified Electronics
AVY,Avery Dennison Corporation,Consumer Goods,Business Equipment
AWAY,"HomeAway, Inc.",Technology,Internet Information Providers
AWH,"Allied World Assurance Company Holdings, AG",Financial,Property & Casualty Insurance
AWI,"Armstrong World Industries, Inc.",Industrial Goods,General Building Materials
AWK,"American Water Works Company, Inc.",Utilities,Water Utilities
AWRE,"Aware, Inc.",Technology,Application Software
AWX,Avalon Holdings Corp.,Industrial Goods,Waste Management
AXAS,Abraxas Petroleum Corp.,Basic Materials,Independent Oil & Gas
AXDX,"Accelerate Diagnostics, Inc.",Healthcare,Diagnostic Substances
AXE,Anixter International Inc.,Services,Industrial Equipment Wholesale
AXL,American Axle & Manufacturing Holdings Inc.,Consumer Goods,Auto Parts
AXLL,Axiall Corporation,Basic Materials,Synthetics
AXN,"Aoxing Pharmaceutical Company, Inc.",Healthcare,Drug Manufacturers - Major
AXP,American Express Company,Financial,Credit Services
AXR,AMREP Corporation,Financial,Property Management
AXS,AXIS Capital Holdings Limited,Financial,Property & Casualty Insurance
AXTI,AXT Inc.,Technology,Semiconductor - Integrated Circuits
AYI,"Acuity Brands, Inc.",Technology,Diversified Electronics
AZO,"AutoZone, Inc.",Services,Auto Parts Stores
AZPN,"Aspen Technology, Inc.",Technology,Business Software & Services
B,Barnes Group Inc.,Industrial Goods,Industrial Equipment & Components
AZZ,AZZ incorporated,Industrial Goods,Metal Fabrication
BA,The Boeing Company,Industrial Goods,Aerospace/Defense Products & Services
BABY,Natus Medical Inc.,Healthcare,Medical Appliances & Equipment
BAC,Bank of America Corporation,Financial,Money Center Banks
BAGL,"Einstein Noah Restaurant Group, Inc.",Services,Restaurants
BAGR,"Diversified Restaurant Holdings, Inc.",Services,Restaurants
BAH,Booz Allen Hamilton Holding Corporation,Services,Management Services
BAMM,Books-A-Million Inc.,Services,"Specialty Retail, Other"
BANF,BancFirst Corporation,Financial,Regional - Southwest Banks
BANC,"Banc of California, Inc.",Financial,Regional - Pacific Banks
BANR,Banner Corporation,Financial,Regional - Mid-Atlantic Banks
BAS,"Basic Energy Services, Inc.",Basic Materials,Oil & Gas Equipment & Services
BASI,Bioanalytical Systems Inc.,Services,Research Services
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies
BBBY,Bed Bath & Beyond Inc.,Services,Home Furnishing Stores
BBG,Bill Barrett Corp.,Basic Materials,Oil & Gas Drilling & Exploration
BBGI,Beasley Broadcast Group Inc.,Services,Broadcasting - Radio
BBNK,Bridge Capital Holdings,Financial,Regional - Pacific Banks
BBOX,Black Box Corporation,Technology,Networking & Communication Devices
BBRG,"Bravo Brio Restaurant Group, Inc.",Services,Restaurants
BBSI,Barrett Business Services Inc.,Services,Staffing & Outsourcing Services
BBX,BBX Capital Corporation,Financial,Property Management
BC,Brunswick Corporation,Consumer Goods,"Recreational Goods, Other"
BCC,Boise Cascade Company,Industrial Goods,"Lumber, Wood Production"
BCEI,"Bonanza Creek Energy, Inc.",Basic Materials,Independent Oil & Gas
BCO,The Brink's Company,Services,Security & Protection Services
BCOR,"Blucora, Inc.",Technology,Internet Information Providers
BCOV,"Brightcove, Inc.",Technology,Application Software
BCPC,Balchem Corp.,Basic Materials,Chemicals - Major Diversified
BCR,CR Bard Inc.,Healthcare,Medical Instruments & Supplies
BCRX,"BioCryst Pharmaceuticals, Inc.",Healthcare,Biotechnology
BDCO,Blue Dolphin Energy Company,Basic Materials,Independent Oil & Gas
BDE,"Black Diamond, Inc.",Consumer Goods,Sporting Goods
BDGE,"Bridge Bancorp, Inc.",Financial,Regional - Northeast Banks
BDL,Flanigan's Enterprises Inc.,Services,Specialty Eateries
BDN,Brandywine Realty Trust,Financial,REIT - Diversified
BDMS,Birner Dental Management Services Inc.,Services,Business Services
BDR,Blonder Tongue Laboratories Inc.,Technology,Communication Equipment
BDSI,"BioDelivery Sciences International, Inc.",Healthcare,Biotechnology
BEAV,B/E Aerospace Inc.,Industrial Goods,Aerospace/Defense Products & Services
BEBE,"Bebe Stores, Inc.",Services,Apparel Stores
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies
BECN,"Beacon Roofing Supply, Inc.",Industrial Goods,General Building Materials
BELFA,Bel Fuse Inc.,,
BELFB,Bel Fuse Inc.,Technology,Diversified Electronics
BEN,Franklin Resources Inc.,Financial,Asset Management
BERK,Berkshire Bancorp Inc.,Financial,Regional - Northeast Banks
BERY,"Berry Plastics Group, Inc.",Consumer Goods,Rubber & Plastics
BFAM,"Bright Horizons Family Solutions, Inc.",Services,Personal Services
BFB,Brown-Forman Corporation,Consumer Goods,Beverages - Wineries & Distillers
BFIN,BankFinancial Corp.,Financial,Savings & Loans
BG,Bunge Limited,Consumer Goods,Farm Products
BGC,General Cable Corp.,Industrial Goods,Industrial Electrical Equipment
BGCP,"BGC Partners, Inc.",Financial,Investment Brokerage - National
BGFV,Big 5 Sporting Goods Corp.,Services,Sporting Goods Stores
BGG,Briggs & Stratton Corporation,Industrial Goods,Diversified Machinery
BGMD,"BG Medicine, Inc.",Healthcare,Medical Laboratories & Research
BGS,,Consumer Goods,Processed & Packaged Goods
BH,Biglari Holdings Inc.,Services,Restaurants
BHB,Bar Harbor Bankshares,Financial,Regional - Northeast Banks
BHE,Benchmark Electronics Inc.,Technology,Printed Circuit Boards
BHI,Baker Hughes Incorporated,Basic Materials,Oil & Gas Equipment & Services
BHRT,"Bioheart, Inc.",Healthcare,Biotechnology
BIG,Big Lots Inc.,Services,"Discount, Variety Stores"
BIIB,Biogen Idec Inc.,Healthcare,Biotechnology
BIOC,"Biocept, Inc.",Healthcare,Medical Laboratories & Research
BIOD,Biodel Inc.,Healthcare,Drug Manufacturers - Other
BIOF,BioFuel Energy Corp.,Basic Materials,Specialty Chemicals
BIOL,"BIOLASE, Inc.",Healthcare,Medical Instruments & Supplies
BIRT,Actuate Corporation,Technology,Application Software
BJRI,"BJ's Restaurants, Inc.",Services,Restaurants
BKBK,Britton & Koontz Capital Corp.,,
BKD,Brookdale Senior Living Inc.,Healthcare,Long-Term Care Facilities
BKE,"The Buckle, Inc.",Services,Apparel Stores
BKH,Black Hills Corporation,Utilities,Electric Utilities
BKJ,"Bancorp Of New Jersey, Inc.",Financial,Savings & Loans
BKMU,Bank Mutual Corporation,Financial,Savings & Loans
BKOR,"Oak Ridge Financial Services, Inc.",Financial,Regional - Mid-Atlantic Banks
